VALIDAÇÃO,Logistica Reversa Transportadora,Logistica Reversa Estado,Logistica Reversa Cidade,Abrangencia
NÃO PARÇA,MG - DOMINALOG,RS,Cruz Alta,1
NÃO PARÇA,ZUCCO TRANSPORT,MG,Ipatinga,1
NÃO PARÇA,MG - DOMINALOG,PE,Oroco,1
NÃO PARÇA,MG - DOMINALOG,BA,Santa Cruz Cabralia,1
NÃO PARÇA,CONECTA CARGO,MG,Itabirinha,1
NÃO PARÇA,CONECTA CARGO,MG,Monte Siao,1
NÃO PARÇA,FAVORITA,GO,Mambai,1
NÃO PARÇA,MG - DOMINALOG,AL,Jacare dos Homens,1
NÃO PARÇA,CONECTA CARGO,SC,Coronel Freitas,1
NÃO PARÇA,MG - DOMINALOG,BA,Caetanos,1
NÃO PARÇA,CONECTA CARGO,MG,Chiador,1
NÃO PARÇA,MG - DOMINALOG,PR,Guarapuava,1
NÃO PARÇA,MG - DOMINALOG,RN,Nisia Floresta,1
NÃO PARÇA,MG - DOMINALOG,RS,Trindade do Sul,1
NÃO PARÇA,MG - DOMINALOG,PE,Itaiba,1
NÃO PARÇA,SJRP - BULKYLOG,RS,Pelotas,1
NÃO PARÇA,MG - DOMINALOG,PI,Sao Juliao,1
NÃO PARÇA,MG-FCB,MG,Natercia,1
NÃO PARÇA,MG - DOMINALOG,MA,Esperantinopolis,1
NÃO PARÇA,RIO - BULKYLOG,RJ,Sao Jose do Vale do Rio Preto,1
NÃO PARÇA,NOGUEIRA,SP,Arealva,1
NÃO PARÇA,MG - DOMINALOG,SC,Chapeco,1
NÃO PARÇA,CONECTA CARGO,SP,Coronel Macedo,1
NÃO PARÇA,SALVADOR-BULKY,BA,Camacari,1
NÃO PARÇA,CONECTA CARGO,SC,Irani,1
NÃO PARÇA,MG - DOMINALOG,RS,Encruzilhada do Sul,1
NÃO PARÇA,CONECTA CARGO,SP,Santa Cruz das Palmeiras,1
NÃO PARÇA,CONECTA CARGO,RJ,Cardoso Moreira,1
NÃO PARÇA,MG - DOMINALOG,PE,Bom Jardim,1
NÃO PARÇA,FAVORITA,GO,Amaralina,1
NÃO PARÇA,CONECTA CARGO,SC,Luiz Alves,1
NÃO PARÇA,MG - DOMINALOG,BA,Sao Gabriel,1
NÃO PARÇA,MG - DOMINALOG,PE,Abreu e Lima,1
NÃO PARÇA,MG - DOMINALOG,CE,Altaneira,1
NÃO PARÇA,CONECTA CARGO,SC,Santo Amaro da Imperatriz,1
NÃO PARÇA,TOTAL EXPRESS,SP,Sao Paulo,1
NÃO PARÇA,MG - DOMINALOG,MA,Governador Archer,1
NÃO PARÇA,MG - DOMINALOG,PE,Flores,1
NÃO PARÇA,MG - DOMINALOG,PR,Sao Joao,1
NÃO PARÇA,CONECTA CARGO,SC,Sao Joao do Sul,1
NÃO PARÇA,MG - DOMINALOG,RS,Monte Belo do Sul,1
NÃO PARÇA,LOGPLACE - SSA,AL,Maceio,1
NÃO PARÇA,CONECTA CARGO,MG,Paraisopolis,1
NÃO PARÇA,ARUJA - BULKY,SP,Sao Vicente,1
NÃO PARÇA,FAVORITA,GO,Itaberai,1
NÃO PARÇA,CONECTA CARGO,MG,Sao Joao das Missoes,1
NÃO PARÇA,FAVORITA,GO,Santa Rita do Araguaia,1
NÃO PARÇA,CONECTA CARGO,SP,Buri,1
NÃO PARÇA,CONECTA CARGO,SP,Itapura,1
NÃO PARÇA,CONECTA CARGO,MG,Santa Barbara do Tugurio,1
NÃO PARÇA,CONECTA CARGO,SP,Panorama,1
NÃO PARÇA,ETT TRANSPORTES,SP,Sao Paulo,1
NÃO PARÇA,FAVORITA,MT,Nova Mutum,1
NÃO PARÇA,CONECTA CARGO,SC,Laurentino,1
NÃO PARÇA,CONECTA CARGO,SP,Lutecia,1
NÃO PARÇA,MG - DOMINALOG,RS,Sentinela do Sul,1
NÃO PARÇA,FAVORITA,GO,Sao Simao,1
NÃO PARÇA,CONECTA CARGO,SP,Pedrinhas Paulista,1
NÃO PARÇA,MG - DOMINALOG,PR,Santa Izabel do Oeste,1
NÃO PARÇA,MG - DOMINALOG,BA,Milagres,1
NÃO PARÇA,CONECTA CARGO,SP,Santa Branca,1
NÃO PARÇA,MG - DOMINALOG,BA,Encruzilhada,1
NÃO PARÇA,MG - DOMINALOG,RS,Balneario Pinhal,1
NÃO PARÇA,MG - DOMINALOG,BA,Candido Sales,1
NÃO PARÇA,MG - DOMINALOG,AL,Rio Largo,1
NÃO PARÇA,CONECTA CARGO,SP,Piracaia,1
NÃO PARÇA,MG - DOMINALOG,PB,Cacimbas,1
NÃO PARÇA,NFC,SP,Sao Lourenco da Serra,1
NÃO PARÇA,MG - DOMINALOG,ES,Vitoria,1
NÃO PARÇA,MG - DOMINALOG,PE,Granito,1
NÃO PARÇA,MG - DOMINALOG,BA,Sao Desiderio,1
NÃO PARÇA,MG - DOMINALOG,PB,Nova Palmeira,1
NÃO PARÇA,MG - DOMINALOG,PI,Marcolandia,1
NÃO PARÇA,CONECTA CARGO,MG,Sao Lourenco,1
NÃO PARÇA,CONECTA CARGO,MG,Engenheiro Navarro,1
NÃO PARÇA,MG - DOMINALOG,BA,Ubaira,1
NÃO PARÇA,MG - DOMINALOG,ES,Santa Maria de Jetiba,1
NÃO PARÇA,MG - DOMINALOG,ES,Ecoporanga,1
NÃO PARÇA,MG - DOMINALOG,PR,Tapejara,1
NÃO PARÇA,MG - DOMINALOG,BA,Correntina,1
NÃO PARÇA,CONECTA CARGO,MG,Ponte Nova,1
NÃO PARÇA,CONECTA CARGO,MG,Estiva,1
NÃO PARÇA,CONECTA CARGO,SP,Olimpia,1
NÃO PARÇA,CONECTA CARGO,MG,Sao Joao do Oriente,1
NÃO PARÇA,MG - DOMINALOG,PE,Nazare da Mata,1
NÃO PARÇA,GRAVATAI - BULK,RS,Terra de Areia,1
NÃO PARÇA,FAVORITA,MT,Campo Novo do Parecis,1
NÃO PARÇA,MG - DOMINALOG,PI,Caldeirao Grande do Piaui,1
NÃO PARÇA,MG - DOMINALOG,RS,Ernestina,1
NÃO PARÇA,MG - DOMINALOG,PR,Mandirituba,1
NÃO PARÇA,MG - DOMINALOG,CE,Parambu,1
NÃO PARÇA,BULKY MAUA,SP,Maua,1
NÃO PARÇA,CONECTA CARGO,SP,Igaracu do Tiete,1
NÃO PARÇA,MG - DOMINALOG,BA,Lajedinho,1
NÃO PARÇA,FAVORITA,MT,Caceres,1
NÃO PARÇA,VENKON - NE,MA,Sao Joao do Caru,1
NÃO PARÇA,MG - DOMINALOG,CE,Morada Nova,1
NÃO PARÇA,MG - DOMINALOG,BA,Piritiba,1
NÃO PARÇA,MG - DOMINALOG,MA,Itinga do Maranhao,1
NÃO PARÇA,MG - DOMINALOG,PB,Rio Tinto,1
NÃO PARÇA,MG - DOMINALOG,PI,Simoes,1
NÃO PARÇA,CONECTA CARGO,MG,Santa Rita de Jacutinga,1
NÃO PARÇA,MG - DOMINALOG,ES,Montanha,1
NÃO PARÇA,MG - DOMINALOG,RS,Tabai,1
NÃO PARÇA,MG - DOMINALOG,PE,Carpina,1
NÃO PARÇA,MG - DOMINALOG,CE,Carire,1
NÃO PARÇA,MG - DOMINALOG,PB,Santa Rita,1
NÃO PARÇA,FAVORITA,PA,Garrafao do Norte,1
NÃO PARÇA,CONECTA CARGO,SC,Balneario Arroio do Silva,1
NÃO PARÇA,MG - DOMINALOG,PB,Aracagi,1
NÃO PARÇA,GRAVATAI - BULK,RS,Gravatai,1
NÃO PARÇA,CONECTA CARGO,MG,Areado,1
NÃO PARÇA,MG - DOMINALOG,RN,Sao Goncalo do Amarante,1
NÃO PARÇA,CONECTA CARGO,SP,Cerqueira Cesar,1
NÃO PARÇA,MG - DOMINALOG,BA,Lafaiete Coutinho,1
NÃO PARÇA,MG - DOMINALOG,BA,Ponto Novo,1
NÃO PARÇA,CONECTA CARGO,MG,Sao Joao da Ponte,1
NÃO PARÇA,MG - DOMINALOG,PE,Panelas,1
NÃO PARÇA,CONECTA CARGO,SC,Governador Celso Ramos,1
NÃO PARÇA,MG - DOMINALOG,RS,Lindolfo Collor,1
NÃO PARÇA,MG - DOMINALOG,RN,Extremoz,1
NÃO PARÇA,CONECTA CARGO,SP,Nova Europa,1
NÃO PARÇA,FAVORITA,PA,Tome Acu,1
NÃO PARÇA,MG - DOMINALOG,ES,Conceicao do Castelo,1
NÃO PARÇA,MG - DOMINALOG,BA,Jiquirica,1
NÃO PARÇA,BULKY LOG - JUN,SP,Laranjal Paulista,1
NÃO PARÇA,MG - DOMINALOG,BA,Maracas,1
NÃO PARÇA,VIANA - BULKY,BA,Cruz das Almas,1
NÃO PARÇA,CONECTA CARGO,SP,Pedranopolis,1
NÃO PARÇA,FAVORITA,GO,agua Limpa,1
NÃO PARÇA,CONECTA CARGO,MG,Senador Amaral,1
NÃO PARÇA,MG - DOMINALOG,ES,Sao Gabriel da Palha,1
NÃO PARÇA,MG - DOMINALOG,BA,Ibotirama,1
NÃO PARÇA,CONECTA CARGO,MG,Luz,1
NÃO PARÇA,ARUJA - BULKY,SP,Guararema,1
NÃO PARÇA,MG - DOMINALOG,PE,Gravata,1
NÃO PARÇA,CONECTA CARGO,SP,Cedral,1
NÃO PARÇA,FATELOG,SP,Itupeva,1
NÃO PARÇA,BULKY LOG - JUN,SP,Jundiai,1
NÃO PARÇA,CONECTA CARGO,SC,Passos Maia,1
NÃO PARÇA,CONECTA CARGO,SP,Pirangi,1
NÃO PARÇA,MG - DOMINALOG,RS,Formigueiro,1
NÃO PARÇA,VIANA - BULKY,RJ,Sao Goncalo,1
NÃO PARÇA,CONECTA CARGO,MG,Brazopolis,1
NÃO PARÇA,MG - DOMINALOG,BA,Prado,1
NÃO PARÇA,FAVORITA,MT,Lucas do Rio Verde,1
NÃO PARÇA,MG - DOMINALOG,CE,Aquiraz,1
NÃO PARÇA,CONECTA CARGO,MG,Sao Geraldo,1
NÃO PARÇA,BULKY LOG - JUN,SP,Americana,1
NÃO PARÇA,CONECTA CARGO,SP,Maracai,1
NÃO PARÇA,FAVORITA,MS,Ivinhema,1
NÃO PARÇA,MG - DOMINALOG,RN,Tibau do Sul,1
NÃO PARÇA,FAVORITA,GO,Aragoiania,1
NÃO PARÇA,CONECTA CARGO,SC,Santa Cecilia,1
NÃO PARÇA,CONECTA CARGO,SC,Balneario Rincao,1
NÃO PARÇA,MG - DOMINALOG,CE,Pacajus,1
NÃO PARÇA,MG - DOMINALOG,AL,Vicosa,1
NÃO PARÇA,CONECTA CARGO,MG,Serro,1
NÃO PARÇA,CONECTA CARGO,MG,Eloi Mendes,1
NÃO PARÇA,MG - DOMINALOG,BA,Santo Amaro,1
NÃO PARÇA,MG - DOMINALOG,BA,Castro Alves,1
NÃO PARÇA,CONECTA CARGO,MG,Sao Goncalo do Abaete,1
NÃO PARÇA,CONECTA CARGO,MG,Rio Pardo de Minas,1
NÃO PARÇA,CONECTA CARGO,SP,Candido Mota,1
NÃO PARÇA,CONECTA CARGO,MG,Galileia,1
NÃO PARÇA,MG - DOMINALOG,SC,Blumenau,1
NÃO PARÇA,MG - DOMINALOG,PB,Picui,1
NÃO PARÇA,MG - DOMINALOG,PI,Francisco Ayres,1
NÃO PARÇA,CONECTA CARGO,MG,Nanuque,1
NÃO PARÇA,CONECTA CARGO,MG,Presidente Olegario,1
NÃO PARÇA,FAVORITA,MS,Itaquirai,1
NÃO PARÇA,CONECTA CARGO,SC,Taio,1
NÃO PARÇA,CONECTA CARGO,SP,Tarabai,1
NÃO PARÇA,CONECTA CARGO,MG,Visconde do Rio Branco,1
NÃO PARÇA,CONECTA CARGO,SP,Clementina,1
NÃO PARÇA,FAVORITA,GO,Palminopolis,1
NÃO PARÇA,MG - DOMINALOG,MA,Mirinzal,1
NÃO PARÇA,MG - DOMINALOG,PE,Sirinhaem,1
NÃO PARÇA,MG - DOMINALOG,PB,Queimadas,1
NÃO PARÇA,FAVORITA,MS,Amambai,1
NÃO PARÇA,CONECTA CARGO,SP,Buritizal,1
NÃO PARÇA,MG - DOMINALOG,PE,Ingazeira,1
NÃO PARÇA,CONECTA CARGO,MG,Diamantina,1
NÃO PARÇA,MG - DOMINALOG,PR,Renascenca,1
NÃO PARÇA,CONECTA CARGO,MG,Mathias Lobato,1
NÃO PARÇA,MG - DOMINALOG,BA,Buerarema,1
NÃO PARÇA,MG - DOMINALOG,RN,Carnaubais,1
NÃO PARÇA,CONECTA CARGO,MG,Toledo,1
NÃO PARÇA,CONECTA CARGO,MG,Planura,1
NÃO PARÇA,MG - DOMINALOG,CE,Farias Brito,1
NÃO PARÇA,CONECTA CARGO,MG,Conceicao das Pedras,1
NÃO PARÇA,CONECTA CARGO,SP,Teodoro Sampaio,1
NÃO PARÇA,FAVORITA,PA,Altamira,1
NÃO PARÇA,MG - DOMINALOG,RS,Santo Cristo,1
NÃO PARÇA,MG - DOMINALOG,PR,Jundiai do Sul,1
NÃO PARÇA,CONECTA CARGO,SP,Rancharia,1
NÃO PARÇA,MG - DOMINALOG,PR,Palotina,1
NÃO PARÇA,SIGA RIBEIRAO,SP,Sao Joaquim da Barra,1
NÃO PARÇA,MG - DOMINALOG,RS,Ibiaca,1
NÃO PARÇA,MG - DOMINALOG,MA,Tuntum,1
NÃO PARÇA,CONECTA CARGO,MG,Limeira do Oeste,1
NÃO PARÇA,CONECTA CARGO,MG,Bom Repouso,1
NÃO PARÇA,MG - DOMINALOG,PE,Agrestina,1
NÃO PARÇA,CONECTA CARGO,MG,Santo Antonio do Monte,1
NÃO PARÇA,CONECTA CARGO,MG,Dona Euzebia,1
NÃO PARÇA,MG - DOMINALOG,BA,Buritirama,1
NÃO PARÇA,CONECTA CARGO,MG,Tiros,1
NÃO PARÇA,MG - DOMINALOG,PR,Santo Inacio,1
NÃO PARÇA,MG - DOMINALOG,CE,Beberibe,1
NÃO PARÇA,MG - DOMINALOG,PE,Dormentes,1
NÃO PARÇA,MG - DOMINALOG,PR,Cascavel,1
NÃO PARÇA,CONECTA CARGO,MG,Tarumirim,1
NÃO PARÇA,MG - DOMINALOG,PR,Andira,1
NÃO PARÇA,MG - DOMINALOG,PR,Presidente Castelo Branco,1
NÃO PARÇA,MG - DOMINALOG,PR,Boa Vista da Aparecida,1
NÃO PARÇA,CONECTA CARGO,MG,Santa Rita do Sapucai,1
NÃO PARÇA,MG - DOMINALOG,PB,Sao Vicente do Serido,1
NÃO PARÇA,MG - DOMINALOG,RS,Tucunduva,1
NÃO PARÇA,MG - DOMINALOG,AL,Olho Dagua das Flores,1
NÃO PARÇA,CONECTA CARGO,MG,Passabem,1
NÃO PARÇA,BLZ,SC,Urubici,1
NÃO PARÇA,MG - DOMINALOG,RS,Chapada,1
NÃO PARÇA,MG - DOMINALOG,PE,Lajedo,1
NÃO PARÇA,MG - DOMINALOG,PR,Altamira do Parana,1
NÃO PARÇA,MG - DOMINALOG,PR,Godoy Moreira,1
NÃO PARÇA,CONECTA CARGO,SP,Santa Maria da Serra,1
NÃO PARÇA,FAVORITA,GO,Amorinopolis,1
NÃO PARÇA,MG - DOMINALOG,MA,Chapadinha,1
NÃO PARÇA,MG - DOMINALOG,BA,Riachao das Neves,1
NÃO PARÇA,MG - DOMINALOG,PB,Princesa Isabel,1
NÃO PARÇA,MG - DOMINALOG,RS,Pantano Grande,1
NÃO PARÇA,MG - DOMINALOG,AL,Capela,1
NÃO PARÇA,GRU GRANADO,SP,Jacarei,1
NÃO PARÇA,MG - DOMINALOG,PB,Catole do Rocha,1
NÃO PARÇA,BULKY LOG - JUN,SP,aguas de Lindoia,1
NÃO PARÇA,MG - DOMINALOG,RS,Guarani das Missoes,1
NÃO PARÇA,MG - DOMINALOG,RS,Sananduva,1
NÃO PARÇA,CONECTA CARGO,SC,Balneario Barra do Sul,1
NÃO PARÇA,CONECTA CARGO,SP,Luis Antonio,1
NÃO PARÇA,FAVORITA,MT,Sapezal,1
NÃO PARÇA,CONECTA CARGO,MG,Rio Piracicaba,1
NÃO PARÇA,FAVORITA,MS,Iguatemi,1
NÃO PARÇA,MG - DOMINALOG,MA,Sao Raimundo das Mangabeiras,1
NÃO PARÇA,MG - DOMINALOG,PR,Iretama,1
NÃO PARÇA,CONECTA CARGO,MG,Cachoeira de Minas,1
NÃO PARÇA,FAVORITA,GO,Vicentinopolis,1
NÃO PARÇA,CONECTA CARGO,SP,Estrela DOeste,1
NÃO PARÇA,BLZ,RS,Cacapava do Sul,1
NÃO PARÇA,FAVORITA,GO,Indiara,1
NÃO PARÇA,FAVORITA,GO,Quirinopolis,1
NÃO PARÇA,VIANA - BULKY,RJ,Petropolis,1
NÃO PARÇA,CONECTA CARGO,SP,Quintana,1
NÃO PARÇA,MG - DOMINALOG,RS,Dom Pedro de Alcantara,1
NÃO PARÇA,MG - DOMINALOG,PE,Tamandare,1
NÃO PARÇA,CONECTA CARGO,MG,Vargem Alegre,1
NÃO PARÇA,MG - DOMINALOG,RN,Santa Cruz,1
NÃO PARÇA,MG - DOMINALOG,BA,Jitauna,1
NÃO PARÇA,MG - DOMINALOG,PR,Rio Branco do Sul,1
NÃO PARÇA,CONECTA CARGO,SP,Indiapora,1
NÃO PARÇA,MG - DOMINALOG,BA,Pirai do Norte,1
NÃO PARÇA,CONECTA CARGO,SP,Taiuva,1
NÃO PARÇA,MG - DOMINALOG,PR,Santa Amelia,1
NÃO PARÇA,MG - DOMINALOG,PR,Querencia do Norte,1
NÃO PARÇA,MG - DOMINALOG,CE,Potengi,1
NÃO PARÇA,MG - DOMINALOG,PR,Capanema,1
NÃO PARÇA,CONECTA CARGO,SC,Nova Trento,1
NÃO PARÇA,MG - DOMINALOG,RS,Mostardas,1
NÃO PARÇA,CONECTA CARGO,SP,Murutinga do Sul,1
NÃO PARÇA,MG - DOMINALOG,RS,Vale Real,1
NÃO PARÇA,FAVORITA,MS,Brasilandia,1
NÃO PARÇA,MG - DOMINALOG,PR,Carlopolis,1
NÃO PARÇA,CONECTA CARGO,RJ,Bom Jesus do Itabapoana,1
NÃO PARÇA,CONECTA CARGO,SP,Sandovalina,1
NÃO PARÇA,MG - DOMINALOG,SE,Carira,1
NÃO PARÇA,MG - DOMINALOG,RS,Santo Antonio das Missoes,1
NÃO PARÇA,VIANA - BULKY,RJ,Duque de Caxias,1
NÃO PARÇA,FAVORITA,GO,Goias,1
NÃO PARÇA,CONECTA CARGO,SP,Cruzalia,1
NÃO PARÇA,MG - DOMINALOG,MA,Goncalves Dias,1
NÃO PARÇA,CONECTA CARGO,SP,Nova Independencia,1
NÃO PARÇA,FAVORITA,PA,Tailandia,1
NÃO PARÇA,MG - DOMINALOG,CE,Itarema,1
NÃO PARÇA,CONECTA CARGO,SP,Ribeirao Branco,1
NÃO PARÇA,CONECTA CARGO,MG,Moema,1
NÃO PARÇA,MG - DOMINALOG,RS,Espumoso,1
NÃO PARÇA,CONECTA CARGO,SP,Itatinga,1
NÃO PARÇA,CONECTA CARGO,MG,Borda da Mata,1
NÃO PARÇA,FAVORITA - SP,GO,Goiania,1
NÃO PARÇA,CONECTA CARGO,MG,Nova Serrana,1
NÃO PARÇA,CONECTA CARGO,MG,Pote,1
NÃO PARÇA,BULKY LOG - JUN,SP,Salto de Pirapora,1
NÃO PARÇA,MG - DOMINALOG,MA,Santa Ines,1
NÃO PARÇA,FAVORITA,GO,Campinorte,1
NÃO PARÇA,CONECTA CARGO,SP,Pitangueiras,1
NÃO PARÇA,MG - DOMINALOG,CE,Oros,1
NÃO PARÇA,MG - DOMINALOG,BA,Formosa do Rio Preto,1
NÃO PARÇA,CONECTA CARGO,MG,Sao Geraldo da Piedade,1
NÃO PARÇA,MG - DOMINALOG,BA,Terra Nova,1
NÃO PARÇA,FAVORITA,GO,Pirenopolis,1
NÃO PARÇA,CONECTA CARGO,SP,Casa Branca,1
NÃO PARÇA,MG - DOMINALOG,PI,Marcos Parente,1
NÃO PARÇA,SALVADOR-BULKY,BA,Catu,1
NÃO PARÇA,CONECTA CARGO,SP,Pariquera Acu,1
NÃO PARÇA,CONECTA CARGO,MG,Barbacena,1
NÃO PARÇA,MG - DOMINALOG,PR,Perola dOeste,1
NÃO PARÇA,MG - DOMINALOG,BA,Souto Soares,1
NÃO PARÇA,FAVORITA,MT,Pedra Preta,1
NÃO PARÇA,VIANA - BULKY,RN,Natal,1
NÃO PARÇA,MG - DOMINALOG,RS,Caxias do Sul,1
NÃO PARÇA,FAVORITA,MT,Matupa,1
NÃO PARÇA,MG - DOMINALOG,ES,Alegre,1
NÃO PARÇA,MG - DOMINALOG,SE,Capela,1
NÃO PARÇA,MG - DOMINALOG,RN,Currais Novos,1
NÃO PARÇA,MG - DOMINALOG,RS,Candiota,1
NÃO PARÇA,CONECTA CARGO,MG,Setubinha,1
NÃO PARÇA,MG - DOMINALOG,PI,Sao Felix do Piaui,1
NÃO PARÇA,MG - DOMINALOG,PR,Cruzeiro do Oeste,1
NÃO PARÇA,CONECTA CARGO,SP,Redencao da Serra,1
NÃO PARÇA,CONECTA CARGO,MG,Sao Francisco,1
NÃO PARÇA,MG - DOMINALOG,PR,Palmeira,1
NÃO PARÇA,CONECTA CARGO,SP,Natividade da Serra,1
NÃO PARÇA,VIANA - BULKY,SP,Peruibe,1
NÃO PARÇA,CONECTA CARGO,SP,Sao Jose da Bela Vista,1
NÃO PARÇA,BLZ,SC,Florianopolis,1
NÃO PARÇA,MG - DOMINALOG,PB,Belem do Brejo do Cruz,1
NÃO PARÇA,MG - DOMINALOG,ES,Piuma,1
NÃO PARÇA,FAVORITA,MT,Sao Jose do Xingu,1
NÃO PARÇA,CONECTA CARGO,MG,Curvelo,1
NÃO PARÇA,CONECTA CARGO,MG,Tres Marias,1
NÃO PARÇA,MG - DOMINALOG,RS,Cruzeiro do Sul,1
NÃO PARÇA,MG - DOMINALOG,RS,Santo Antonio da Patrulha,1
NÃO PARÇA,MG - DOMINALOG,CE,Carnaubal,1
NÃO PARÇA,MG - DOMINALOG,PR,Sertanopolis,1
NÃO PARÇA,CONECTA CARGO,SP,Piratininga,1
NÃO PARÇA,FAVORITA,GO,Uruacu,1
NÃO PARÇA,CONECTA CARGO,SP,Manduri,1
NÃO PARÇA,BLZ,RS,Canoas,1
NÃO PARÇA,MG - DOMINALOG,PE,Triunfo,1
NÃO PARÇA,MG - DOMINALOG,PI,Luis Correia,1
NÃO PARÇA,FAVORITA,MT,Confresa,1
NÃO PARÇA,CONECTA CARGO,SP,Vargem Grande do Sul,1
NÃO PARÇA,FAVORITA,GO,Caldas Novas,1
NÃO PARÇA,MG - DOMINALOG,AL,Mata Grande,1
NÃO PARÇA,MG - DOMINALOG,RS,Jacutinga,1
NÃO PARÇA,MG - DOMINALOG,RS,Taquari,1
NÃO PARÇA,CONECTA CARGO,MG,Juruaia,1
NÃO PARÇA,MG - DOMINALOG,RS,Manoel Viana,1
NÃO PARÇA,MG - DOMINALOG,CE,Barroquinha,1
NÃO PARÇA,CONECTA CARGO,MG,Almenara,1
NÃO PARÇA,CONECTA CARGO,SP,Borebi,1
NÃO PARÇA,MG - DOMINALOG,RN,Brejinho,1
NÃO PARÇA,MG - DOMINALOG,RN,Serra do Mel,1
NÃO PARÇA,MG - DOMINALOG,RS,Sao Jose do Hortencio,1
NÃO PARÇA,MG - DOMINALOG,RS,Sarandi,1
NÃO PARÇA,MG - DOMINALOG,RS,Getulio Vargas,1
NÃO PARÇA,MG - DOMINALOG,PR,Dois Vizinhos,1
NÃO PARÇA,MG - DOMINALOG,BA,Xique Xique,1
NÃO PARÇA,BLZ,SC,Itaiopolis,1
NÃO PARÇA,CONECTA CARGO,SC,Monte Castelo,1
NÃO PARÇA,FAVORITA,GO,Anicuns,1
NÃO PARÇA,MG - DOMINALOG,PR,Sao Pedro do Iguacu,1
NÃO PARÇA,MG - DOMINALOG,CE,Cascavel,1
NÃO PARÇA,CONECTA CARGO,ES,Aracruz,1
NÃO PARÇA,CONECTA CARGO,SP,Populina,1
NÃO PARÇA,CONECTA CARGO,MG,Santana do Riacho,1
NÃO PARÇA,CONECTA CARGO,SC,Fraiburgo,1
NÃO PARÇA,MG - DOMINALOG,MA,Sao Pedro da agua Branca,1
NÃO PARÇA,CONECTA CARGO,SP,Boraceia,1
NÃO PARÇA,CONECTA CARGO,MG,Capitolio,1
NÃO PARÇA,CONECTA CARGO,MG,Franciscopolis,1
NÃO PARÇA,CONECTA CARGO,MG,Guanhaes,1
NÃO PARÇA,MG - DOMINALOG,BA,Aracas,1
NÃO PARÇA,CONECTA CARGO,SC,Agronomica,1
NÃO PARÇA,CONECTA CARGO,SC,Descanso,1
NÃO PARÇA,MG - DOMINALOG,RS,Santo Augusto,1
NÃO PARÇA,MG - DOMINALOG,RS,Gentil,1
NÃO PARÇA,MG - DOMINALOG,PI,Brasileira,1
NÃO PARÇA,CONECTA CARGO,MG,Rio Vermelho,1
NÃO PARÇA,MG - DOMINALOG,PR,Sertaneja,1
NÃO PARÇA,MG - DOMINALOG,SC,Balneario Picarras,1
NÃO PARÇA,MG - DOMINALOG,PR,Itambe,1
NÃO PARÇA,FAVORITA,GO,Mineiros,1
NÃO PARÇA,MG - DOMINALOG,PR,Nova Aurora,1
NÃO PARÇA,FAVORITA,GO,Nova Iguacu de Goias,1
NÃO PARÇA,CONECTA CARGO,MG,Bambui,1
NÃO PARÇA,MG - DOMINALOG,SE,Aquidaba,1
NÃO PARÇA,CONECTA CARGO,MG,Sao Joao do Paraiso,1
NÃO PARÇA,CONECTA CARGO,SP,Valparaiso,1
NÃO PARÇA,MG - DOMINALOG,RS,Carlos Barbosa,1
NÃO PARÇA,MG - DOMINALOG,RN,Nova Cruz,1
NÃO PARÇA,VIANA - BULKY,MA,Sao Luis,1
NÃO PARÇA,MG - DOMINALOG,PR,Santa Mariana,1
NÃO PARÇA,CONECTA CARGO,SP,Monte Castelo,1
NÃO PARÇA,GRU GRANADO,SP,Paraibuna,1
NÃO PARÇA,CONECTA CARGO,SP,Castilho,1
NÃO PARÇA,MG - DOMINALOG,CE,Boa Viagem,1
NÃO PARÇA,CONECTA CARGO,MG,Iturama,1
NÃO PARÇA,CONECTA CARGO,MG,Cabeceira Grande,1
NÃO PARÇA,MG - DOMINALOG,BA,Boa Vista do Tupim,1
NÃO PARÇA,MG - DOMINALOG,ES,Barra de Sao Francisco,1
NÃO PARÇA,VIANA - BULKY,ES,Guarapari,1
NÃO PARÇA,MG - DOMINALOG,RS,Sao Joao do Polesine,1
NÃO PARÇA,MG - DOMINALOG,RS,Garibaldi,1
NÃO PARÇA,MG - DOMINALOG,PE,Arcoverde,1
NÃO PARÇA,FAVORITA,GO,Porangatu,1
NÃO PARÇA,MG - DOMINALOG,MG,Belo Horizonte,1
NÃO PARÇA,MG - DOMINALOG,BA,Ibicui,1
NÃO PARÇA,MG - DOMINALOG,PR,Candoi,1
NÃO PARÇA,CONECTA CARGO,SP,Maraba Paulista,1
NÃO PARÇA,BULKY LOG - JUN,SP,Sagres,1
NÃO PARÇA,CONECTA CARGO,MG,Santo Antonio do Aventureiro,1
NÃO PARÇA,MG - DOMINALOG,PI,Corrente,1
NÃO PARÇA,VIANA - BULKY,RJ,Campos dos Goytacazes,1
NÃO PARÇA,CONECTA CARGO,MG,Felicio dos Santos,1
NÃO PARÇA,CONECTA CARGO,MG,Baldim,1
NÃO PARÇA,RS - DOMINALOG,PR,Colorado,1
NÃO PARÇA,MG - DOMINALOG,PE,Alagoinha,1
NÃO PARÇA,CONECTA CARGO,SP,Pinhalzinho,1
NÃO PARÇA,CONECTA CARGO,SP,Iaras,1
NÃO PARÇA,MG - DOMINALOG,MA,Lago da Pedra,1
NÃO PARÇA,LOGPLACE - SSA,BA,Salvador,1
NÃO PARÇA,CONECTA CARGO,MG,Alterosa,1
NÃO PARÇA,FAVORITA,MS,Navirai,1
