VALIDAÇÃO,Logistica Reversa Transportadora,Logistica Reversa Estado,Logistica Reversa Cidade,Abrangencia
NÃO PARÇA,MG - DOMINALOG,PI,Picos,5
NÃO PARÇA,GRAVATAI - BULK,RS,Viamao,5
NÃO PARÇA,CONECTA CARGO,MG,Ipatinga,5
NÃO PARÇA,CONECTA CARGO,SP,Biritiba Mirim,5
NÃO PARÇA,MG - DOMINALOG,RS,Guaiba,5
NÃO PARÇA,MG - DOMINALOG,RS,Soledade,5
NÃO PARÇA,VIANA - BULKY,ES,Cariacica,5
NÃO PARÇA,MG - DOMINALOG,PE,Ipojuca,5
NÃO PARÇA,BULKY MAUA,SP,Sao Paulo,5
NÃO PARÇA,CONECTA CARGO,SP,Cravinhos,5
NÃO PARÇA,CONECTA CARGO,SP,Itajobi,5
NÃO PARÇA,CONECTA CARGO,SC,Canoinhas,5
NÃO PARÇA,MG - DOMINALOG,RS,Santo angelo,5
NÃO PARÇA,FAVORITA,MT,Rondonopolis,5
NÃO PARÇA,CONECTA CARGO,SP,Lins,5
NÃO PARÇA,MG - DOMINALOG,RS,Cacapava do Sul,5
NÃO PARÇA,CONECTA CARGO,SP,alvares Machado,5
NÃO PARÇA,MG - DOMINALOG,PE,Santa Cruz do Capibaribe,5
NÃO PARÇA,FAVORITA,MT,Alta Floresta,4
NÃO PARÇA,CONECTA CARGO,SC,Itaiopolis,4
NÃO PARÇA,CONECTA CARGO,MG,Sao Joao Del Rei,4
NÃO PARÇA,MG - DOMINALOG,ES,Mimoso do Sul,4
NÃO PARÇA,MG - DOMINALOG,RS,Panambi,4
NÃO PARÇA,CONECTA CARGO,MG,Manhuacu,4
NÃO PARÇA,CONECTA CARGO,SC,Schroeder,4
NÃO PARÇA,MG - DOMINALOG,PE,Serra Talhada,4
NÃO PARÇA,MG - DOMINALOG,BA,Jaguarari,4
NÃO PARÇA,CONECTA CARGO,SC,Cacador,4
NÃO PARÇA,CONECTA CARGO,SP,Jose Bonifacio,4
NÃO PARÇA,MG - DOMINALOG,ES,Guarapari,4
NÃO PARÇA,MG - DOMINALOG,PI,Piripiri,4
NÃO PARÇA,CONECTA CARGO,SP,Paraibuna,4
NÃO PARÇA,CONECTA CARGO,MG,Guape,4
NÃO PARÇA,CONECTA CARGO,SP,Pradopolis,4
NÃO PARÇA,MG - DOMINALOG,BA,Malhada de Pedras,4
NÃO PARÇA,MG - DOMINALOG,RS,Catuipe,4
NÃO PARÇA,CONECTA CARGO,SP,Ibate,4
NÃO PARÇA,FAVORITA,MT,Sorriso,4
NÃO PARÇA,MG - DOMINALOG,BA,Mucuge,4
NÃO PARÇA,CONECTA CARGO,SC,Bombinhas,4
NÃO PARÇA,FAVORITA,MT,Tangara da Serra,4
NÃO PARÇA,MG - DOMINALOG,RS,Cangucu,4
NÃO PARÇA,CONECTA CARGO,MG,Medina,4
NÃO PARÇA,CONECTA CARGO,SP,Porangaba,4
NÃO PARÇA,MG - DOMINALOG,PI,Parnaiba,4
NÃO PARÇA,CONECTA CARGO,SC,Sombrio,4
NÃO PARÇA,MG - DOMINALOG,BA,Vera Cruz,4
NÃO PARÇA,CONECTA CARGO,SP,Santo Antonio do Pinhal,4
NÃO PARÇA,CONECTA CARGO,SP,Americo Brasiliense,4
NÃO PARÇA,RIO - BULKYLOG,RJ,Rio de Janeiro,4
NÃO PARÇA,FAVORITA,MS,Nova Andradina,4
NÃO PARÇA,CONECTA CARGO,SC,Mafra,4
NÃO PARÇA,CONECTA CARGO,MG,Paracatu,4
NÃO PARÇA,MG - DOMINALOG,ES,Ibatiba,4
NÃO PARÇA,MG - DOMINALOG,BA,Porto Seguro,4
NÃO PARÇA,MG - DOMINALOG,BA,Itaberaba,4
NÃO PARÇA,MG - DOMINALOG,PE,Araripina,4
NÃO PARÇA,RIO - BULKYLOG,RJ,Areal,4
NÃO PARÇA,CONECTA CARGO,SP,Novo Horizonte,4
NÃO PARÇA,CONECTA CARGO,SP,Mirante do Paranapanema,4
NÃO PARÇA,CONECTA CARGO,SC,Sao Miguel do Oeste,4
NÃO PARÇA,CONECTA CARGO,SP,Jardinopolis,4
NÃO PARÇA,MG - DOMINALOG,PR,Laranjeiras do Sul,4
NÃO PARÇA,MG - DOMINALOG,MA,Paco do Lumiar,4
NÃO PARÇA,MG - DOMINALOG,BA,Baixa Grande,4
NÃO PARÇA,MG - DOMINALOG,CE,Senador Pompeu,4
NÃO PARÇA,CONECTA CARGO,SC,Ituporanga,4
NÃO PARÇA,CONECTA CARGO,SC,Araquari,4
NÃO PARÇA,MG - DOMINALOG,MA,Sao Jose de Ribamar,4
NÃO PARÇA,CONECTA CARGO,MG,Joao Monlevade,4
NÃO PARÇA,FAVORITA,GO,Senador Canedo,4
NÃO PARÇA,MG - DOMINALOG,SE,Barra dos Coqueiros,4
NÃO PARÇA,CONECTA CARGO,MG,Muriae,4
NÃO PARÇA,CONECTA CARGO,SP,Sao Bento do Sapucai,4
NÃO PARÇA,CONECTA CARGO,SP,Auriflama,4
NÃO PARÇA,CONECTA CARGO,SP,Jau,3
NÃO PARÇA,MG - DOMINALOG,CE,Horizonte,3
NÃO PARÇA,CONECTA CARGO,SP,Caieiras,3
NÃO PARÇA,CONECTA CARGO,SP,Pereira Barreto,3
NÃO PARÇA,FAVORITA,MS,Corumba,3
NÃO PARÇA,MG - DOMINALOG,AL,Girau do Ponciano,3
NÃO PARÇA,CONECTA CARGO,SP,Iacanga,3
NÃO PARÇA,CONECTA CARGO,SP,Mirassol,3
NÃO PARÇA,FAVORITA,GO,Posse,3
NÃO PARÇA,CONECTA CARGO,SC,Joacaba,3
NÃO PARÇA,CONECTA CARGO,SP,Porto Ferreira,3
NÃO PARÇA,FAVORITA,GO,Neropolis,3
NÃO PARÇA,MG - DOMINALOG,PI,Luzilandia,3
NÃO PARÇA,MG - DOMINALOG,CE,Iguatu,3
NÃO PARÇA,MG - DOMINALOG,CE,Quixeramobim,3
NÃO PARÇA,CONECTA CARGO,ES,Vila Velha,3
NÃO PARÇA,BULKY LOG - JUN,SP,Cordeiropolis,3
NÃO PARÇA,CONECTA CARGO,SP,Taquarituba,3
NÃO PARÇA,CONECTA CARGO,SP,Batatais,3
NÃO PARÇA,CONECTA CARGO,SP,Ipua,3
NÃO PARÇA,CONECTA CARGO,SC,Maravilha,3
NÃO PARÇA,BULKY LOG - JUN,SP,Campinas,3
NÃO PARÇA,MG - DOMINALOG,CE,Ico,3
NÃO PARÇA,ARUJA - BULKY,SP,Mogi das Cruzes,3
NÃO PARÇA,MG - DOMINALOG,RS,Venancio Aires,3
NÃO PARÇA,FAVORITA,GO,Corumbaiba,3
NÃO PARÇA,CONECTA CARGO,SP,Parapua,3
NÃO PARÇA,CONECTA CARGO,SP,Juquia,3
NÃO PARÇA,CONECTA CARGO,MG,Santana do Paraiso,3
NÃO PARÇA,CONECTA CARGO,MG,Uba,3
NÃO PARÇA,MG - DOMINALOG,CE,Caninde,3
NÃO PARÇA,CONECTA CARGO,MG,Sao Sebastiao do Paraiso,3
NÃO PARÇA,CONECTA CARGO,SP,Morro Agudo,3
NÃO PARÇA,MG - DOMINALOG,PR,Terra Boa,3
NÃO PARÇA,CONECTA CARGO,SP,Santa Adelia,3
NÃO PARÇA,CONECTA CARGO,SP,Santo Anastacio,3
NÃO PARÇA,FAVORITA,MT,Pontes e Lacerda,3
NÃO PARÇA,MG - DOMINALOG,BA,Rio do Pires,3
NÃO PARÇA,MG - DOMINALOG,PR,Santa Fe,3
NÃO PARÇA,CONECTA CARGO,SP,Cajobi,3
NÃO PARÇA,CONECTA CARGO,MG,Tiradentes,3
NÃO PARÇA,MG - DOMINALOG,BA,Sento Se,3
NÃO PARÇA,CONECTA CARGO,SP,Presidente Venceslau,3
NÃO PARÇA,CONECTA CARGO,SP,Sao Joao da Boa Vista,3
NÃO PARÇA,MG - DOMINALOG,PR,Pien,3
NÃO PARÇA,CONECTA CARGO,SP,Guaraci,3
NÃO PARÇA,CONECTA CARGO,SP,Valentim Gentil,3
NÃO PARÇA,MG - DOMINALOG,BA,Bom Jesus da Lapa,3
NÃO PARÇA,CONECTA CARGO,SP,Capao Bonito,3
NÃO PARÇA,MG - DOMINALOG,BA,Teixeira de Freitas,3
NÃO PARÇA,CONECTA CARGO,SP,Embu das Artes,3
NÃO PARÇA,CONECTA CARGO,SC,Sao Lourenco do Oeste,3
NÃO PARÇA,CONECTA CARGO,MG,Piranga,3
