,,,,WEEK 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WEEK 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,,,,,,,,,,,,2026,,,,,,,,,,,,,,,,,Quarter 2025,,,,Quarter 2026,,,,,,,,,,,,,,,,
,0 a 2 dias,pedido,menor - melhor,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,230,144,41,93,70,41,87,129,84,133,1,159,127,112,87,133,122,141,116,84,113,35,107,118,61,9,99,179,76,11,149,140,190,149,113,144,138,157,167,119,116,66,64,107,115,132,67,134,124,88,60,95,83,110,149,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,-,,-,-,,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,Madeira,pedido,menor - melhor,,,,,,,,,,,,,,,,,,,,,-,-,-,113,64,19,45,23,12,41,68,40,71,0,66,59,61,26,48,54,60,48,33,36,9,37,58,16,2,43,77,29,3,41,34,79,57,36,58,48,63,57,31,46,17,18,36,31,42,21,56,42,25,21,29,17,38,43,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,-,,-,-,,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,Marketplace,pedido,menor - melhor,,,,,,,,,,,,,,,,,,,,,-,-,-,117,80,22,48,47,29,46,61,44,62,1,93,68,51,61,85,68,81,68,51,77,26,70,60,45,7,56,102,47,8,108,106,111,92,77,86,90,94,110,88,70,49,46,71,84,90,46,78,82,63,39,66,66,72,106,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,-,,-,-,,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,2 a 5 dias,pedido,menor - melhor,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,126,121,165,187,290,279,360,280,154,107,196,147,247,329,133,67,139,138,225,234,152,247,124,69,103,168,53,20,135,80,226,175,218,63,67,133,47,31,51,88,31,64,67,99,120,59,81,29,63,95,117,67,127,33,94,,,,,,,,,,,,,,,,,,,,,,,,,,,61,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,-,,-,-,,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,Madeira,pedido,menor - melhor,,,,,,,,,,,,,,,,,,,,,-,-,-,44,60,65,89,161,151,177,150,74,51,107,64,112,155,69,24,43,57,83,91,58,86,41,26,45,67,31,12,57,30,80,47,66,20,15,32,20,16,25,40,18,20,24,29,54,20,29,18,25,36,28,19,40,17,34,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,-,,-,-,,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,Marketplace,pedido,menor - melhor,,,,,,,,,,,,,,,,,,,,,-,-,-,82,61,100,98,129,121,183,130,80,56,89,83,135,174,64,43,96,81,142,143,94,161,83,43,58,101,22,8,78,50,146,128,152,43,52,101,27,15,26,48,13,44,43,70,66,39,52,11,38,59,89,48,87,16,60,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,-,,-,-,,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,5 a 10 dias,pedido,menor - melhor,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,117,130,90,72,66,62,84,128,146,111,51,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,1,27,0,2,8,3,2,0,9,1,3,2,2,7,6,5,11,15,14,4,14,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,-,,-,-,,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,Madeira,pedido,menor - melhor,,,,,,,,,,,,,,,,,,,,,-,-,-,57,62,38,35,39,38,59,79,89,67,28,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,1,8,0,2,3,1,1,0,4,0,2,1,2,4,4,3,8,7,8,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,-,,-,-,,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,Marketplace,pedido,menor - melhor,,,,,,,,,,,,,,,,,,,,,-,-,-,60,68,52,37,27,24,25,49,57,44,23,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,19,0,0,5,2,1,0,5,1,1,1,0,3,2,2,3,8,6,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,-,,-,-,,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,10 a 30 dias,pedido,menor - melhor,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,98,116,61,44,14,2,1,3,15,22,19,2,1,0,4,2,3,6,9,8,8,4,2,1,2,5,15,5,5,8,1,0,4,0,0,0,0,0,1,5,0,0,0,0,1,0,0,0,1,3,1,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,-,,-,-,,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,Madeira,pedido,menor - melhor,,,,,,,,,,,,,,,,,,,,,-,-,-,45,53,33,22,6,1,1,2,11,15,16,2,1,0,2,0,2,2,6,6,4,1,2,1,1,3,12,2,3,4,0,0,3,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,2,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,-,,-,-,,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,Marketplace,pedido,menor - melhor,,,,,,,,,,,,,,,,,,,,,-,-,-,53,63,28,22,8,1,0,1,4,7,3,0,0,0,2,2,1,4,3,2,4,3,0,0,1,2,3,3,2,4,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,-,,-,-,,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,> que 30 dias,pedido,menor - melhor,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,17,22,5,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,-,,-,-,,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,Madeira,pedido,menor - melhor,,,,,,,,,,,,,,,,,,,,,-,-,-,14,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,-,,-,-,,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,Marketplace,pedido,menor - melhor,,,,,,,,,,,,,,,,,,,,,-,-,-,3,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,-,,-,-,,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,Total,pedido,menor - melhor,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,588,533,362,400,440,384,532,540,399,373,267,309,376,450,224,202,265,285,350,326,274,286,233,188,166,182,167,204,217,100,376,315,434,213,181,304,185,190,227,215,149,130,140,207,239,193,150,170,194,191,189,177,224,147,260,,,,,,,,,,,,,,,,,,,,,,,,,,,113,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,-,,-,-,,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
,Taxa de Resposta CSAT Parça,%,maior - melhor,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,"11,56%","26,36%","33,18%","15,21%","21,80%","15,78%","14,46%","19,58%","19,30%","19,67%","19,59%","19,86%","15,79%","18,76%","21,91%","18,15%","20,17%","18,15%","21,25%","15,98%","25,43%","17,90%","17,27%","15,52%","16,31%","22,75%","16,35%","17,89%","19,65%","19,44%","19,29%","21,00%","24,15%","19,49%","14,59%","19,52%","25,69%","18,73%","22,55%","21,67%","20,32%","19,39%","18,89%","17,73%","24,07%","21,76%","20,33%","20,27%","20,27%","18,54%","19,06%","21,61%","17,81%","24,63%","16,98%","16,98%","17,77%","23,18%","18,21%","21,84%","18,03%","20,90%","42,08%","43,03%","44,56%","41,86%","41,80%","41,97%",,,,,,,,,,,,,,,,,,,,,,,,,,,"0,41%",,-%,-%,-%,"17,49%","19,64%","22,41%","24,89%","16,73%","19,03%","19,71%","21,64%","20,79%","21,65%","24,30%","19,66%","20,10%","31,96%","42,49%",,,,,,,"32,95%",,"20,26%","26,69%",,-%,"19,64%","19,03%","20,79%","21,87%","31,52%",#DIV/0!,#DIV/0!,,,,,,,,,,,,,
,CSAT Parça (Share de Notas 4 - 5),%,maior - melhor,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,"76,86%","69,84%","77,06%","77,00%","76,06%","100,00%","79,79%","88,31%","81,61%","76,92%","82,73%","74,34%","80,00%","90,99%","86,41%","79,38%","73,97%","87,37%","90,70%","91,38%","81,51%","87,72%","88,54%","90,57%","87,95%","87,13%","88,57%","82,35%","84,44%","88,29%","88,89%","82,86%","89,38%","86,00%","88,41%","88,76%","82,44%","90,14%","86,96%","88,12%","84,31%","89,11%","82,35%","88,00%","87,60%","83,62%","82,26%","86,54%","85,25%","76,19%","81,76%","92,37%","85,23%","92,92%","85,88%","86,67%","90,70%","85,37%","84,75%","90,70%","84,27%","80,68%","88,61%","90,44%","92,17%","90,27%","88,32%","89,27%",,,,,,,,,,,,,,,,,,,,,,,,,,,"1,08%",,-%,-%,"74,29%","80,00%","78,63%","83,22%","86,58%","88,75%","87,01%","86,32%","86,70%","86,76%","84,63%","82,73%","89,23%","87,56%","87,70%","90,04%",,,,,,,"2,67%",,"83,09%","86,00%",,"74,29%","80,00%","87,01%","86,70%","85,53%","88,43%",#DIV/0!,#DIV/0!,,,,,,,,,,,,,
,Meta CSAT Parça,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,-%,"65,00%","65,00%","65,00%","65,00%","75,00%","75,00%","75,00%","85,00%","85,00%","85,00%","85,00%","85,00%","85,00%","85,00%","85,00%",,,,,,,,-,,"74,00%",,,,"86,67%",,,,,,,,,,,,,,,,,,,
,Atingimento,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,-%,,,,,,,,,,,"99,56%","97,33%","104,98%","103,01%","103,18%",,,,,,,,-,,"81,82%",,,,"82,05%",,,,,,,,,,,,,,,,,,,
,CSAT Safari,%,maior - melhor,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,"78,57%","69,49%","75,47%","83,78%","80,65%","100,00%","78,43%","84,21%","78,38%","74,03%","84,62%","73,21%","72,00%","88,46%","89,47%","75,68%","80,00%","82,22%","96,30%","79,17%","79,55%","91,67%","92,11%","91,84%","80,00%","84,62%","79,07%","85,71%","87,88%","95,56%","93,94%","83,33%","89,74%","87,76%","82,86%","91,89%","84,44%","96,15%","88,06%","89,19%","76,92%","82,76%","84,21%","100,00%","84,78%","87,07%","85,45%","85,29%","92,00%","81,82%","75,71%","94,74%","91,11%","96,30%","87,84%","88,31%","96,43%","91,84%","81,13%","94,12%","86,67%","78,95%","93,94%","91,21%","91,95%","89,38%","90,91%","93,83%",,,,,,,,,,,,,,,,,,,,,,,,,,,"3,21%",,-%,-%,"76,47%","80,77%","77,13%","82,61%","83,22%","89,83%","86,67%","88,31%","88,19%","84,74%","86,75%","82,89%","92,21%","89,76%","89,16%","91,27%",,,,,,,"2,37%",,"83,01%","88,40%",,"76,47%","80,77%","86,67%","88,19%","87,28%","90,06%",,,,,,,,,,,,,,,
,CSAT Saldão,%,maior - melhor,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,"85,48%","100,00%","69,23%","60,00%","83,33%","100,00%","85,71%","85,71%","92,86%","83,33%","90,00%","80,00%","100,00%","100,00%","100,00%","100,00%","83,33%","100,00%","93,75%","100,00%","92,86%","92,31%","92,31%","89,47%","100,00%","88,24%","100,00%","83,33%","100,00%","83,33%","93,33%","84,21%","100,00%","87,50%","80,00%","91,67%","94,12%","88,89%","78,57%","88,24%","87,50%","94,12%","80,00%",-,"94,74%","85,71%","76,92%","93,33%","92,31%","90,91%","86,96%","100,00%","76,92%","100,00%","90,00%","90,48%","90,00%","83,33%","90,00%","100,00%","91,67%","88,24%","88,57%","95,12%","92,00%","100,00%","100,00%","92,00%",,,,,,,,,,,,,,,,,,,,,,,,,,,"-8,00%",,-%,-%,"84,34%","81,82%","86,67%","97,92%","96,23%","91,49%","92,54%","88,10%","90,70%","86,89%","86,79%","90,32%","90,91%","89,58%","91,43%","96,00%",,,,,,,"5,00%",,"89,77%","90,12%",,"84,34%","86,67%","92,54%","88,10%","89,34%","92,34%",,,,,,,,,,,,,,,
,CSAT Movel Service,%,maior - melhor,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,"75,36%","78,26%","86,67%","76,92%","60,00%",-%,"70,00%","88,89%","92,86%","75,00%","81,82%","83,33%","87,50%","90,91%","100,00%","75,00%","81,82%","81,82%","86,67%","100,00%","88,00%","84,62%","89,47%","88,24%","84,62%","95,24%","82,35%","90,00%","50,00%","76,47%","60,00%","83,33%","95,00%","90,00%","90,91%","85,71%","79,17%","100,00%","73,91%","87,50%","89,29%","94,74%","71,43%","88,89%","85,00%","71,43%","88,24%","88,46%","56,52%","66,67%","84,00%","75,00%","60,00%","78,57%","76,47%","78,95%","73,33%","66,67%","73,68%","100,00%","92,31%","81,82%","80,00%","77,78%","92,68%","78,05%","64,29%","66,67%",,,,,,,,,,,,,,,,,,,,,,,,,,,"3,70%",,-%,-%,"77,06%","75,47%","82,05%","87,72%","88,52%","87,10%","91,30%","84,21%","86,89%","85,87%","81,97%","76,62%","75,93%","76,79%","81,54%","78,57%",,,,,,,"-3,64%",,"83,10%","78,34%",,"77,06%","82,05%","88,52%","85,87%","78,17%","78,97%",,,,,,,,,,,,,,,
,CSAT Real Moweis,%,maior - melhor,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,"54,55%","33,33%","100,00%","100,00%","100,00%",-%,"100,00%","100,00%","100,00%","100,00%","100,00%",-%,"100,00%","100,00%","100,00%","50,00%",-%,"100,00%","100,00%","100,00%",-%,"50,00%","100,00%",-%,"100,00%","100,00%","100,00%","0,00%","100,00%","60,00%",-%,"50,00%","100,00%","100,00%","100,00%","50,00%","50,00%","50,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","50,00%","33,33%","0,00%",-,"66,67%","80,00%","75,00%","100,00%","100,00%","80,00%","80,00%","100,00%","100,00%",-%,-%,-%,-%,-%,-%,-%,-%,-%,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,-%,-%,"61,11%","100,00%","100,00%","88,89%","100,00%","75,00%","73,33%","83,33%","55,56%","100,00%","62,50%","66,67%","83,33%","100,00%",-%,-%,,,,,,,-,,"80,65%","75,00%",,"61,11%","100,00%","75,00%","83,33%","70,83%","100,00%",,,,,,,,,,,,,,,
,CSAT Tarcis Marques,%,maior - melhor,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,"66,67%","33,33%","100,00%","100,00%","100,00%",-%,"71,43%","100,00%","100,00%","80,00%","50,00%","100,00%","66,67%","100,00%","100,00%","0,00%",-%,-%,"100,00%",-%,"0,00%",-%,-%,-%,-%,-%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,-%,-%,"64,52%","87,50%","81,82%","66,67%","66,67%",-%,,,,,,,,,,,,,,,,,-,,"73,13%",,,"64,52%","81,82%","66,67%",#NUM!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,CSAT LOGME (LIFE AMBIENTAL),%,maior - melhor,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,"53,66%","58,33%","75,00%","55,56%","75,00%",-%,"83,33%","100,00%","100,00%","75,00%","77,78%","57,14%","50,00%","91,67%","58,82%","85,71%","80,00%","100,00%","100,00%","100,00%","76,92%","80,00%","83,33%","100,00%","88,89%","66,67%","100,00%","100,00%","86,67%","100,00%","75,00%","77,78%","63,64%","76,92%","100,00%","100,00%","66,67%","66,67%","100,00%","83,33%","100,00%","85,71%","75,00%",-,"83,33%","100,00%","80,00%","66,67%","100,00%","88,89%","90,91%","100,00%","50,00%","100,00%","88,89%","88,89%","100,00%","87,50%","100,00%","83,33%","100,00%","66,37%","85,71%","93,33%","94,12%","91,67%","85,71%","100,00%",,,,,,,,,,,,,,,,,,,,,,,,,,,"16,67%",,-%,-%,"57,38%","70,00%","75,76%","68,89%","89,47%","88,00%","87,50%","72,22%","76,92%","88,89%","83,33%","87,88%","85,00%","90,00%","88,57%","91,53%",,,,,,,"3,34%",,"76,49%","87,76%",,"57,38%","70,00%","88,00%","76,92%","85,40%","90,03%",,,,,,,,,,,,,,,
,CSAT KMAN,%,maior - melhor,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,"78,57%","0,00%","100,00%","50,00%","75,00%",-%,"100,00%",-%,"28,57%","100,00%","100,00%","80,00%","100,00%","80,00%","100,00%","66,67%","0,00%","75,00%","40,00%","100,00%","80,00%","50,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%",-%,"100,00%","50,00%","100,00%","85,71%","100,00%","75,00%","100,00%","100,00%","50,00%","0,00%",-,"100,00%","100,00%","75,00%",-,"100,00%","100,00%","66,67%","100,00%","100,00%","100,00%","100,00%","83,33%","83,33%","100,00%","50,00%","100,00%","100,00%","100,00%","0,00%","100,00%","100,00%","100,00%","80,00%","100,00%","77,78%",,,,,,,,,,,,,,,,,,,,,,,,,,,"-22,22%",,-%,-%,"75,00%","64,29%","62,50%","77,78%","72,22%","92,86%","100,00%","83,33%","72,22%","72,22%","72,22%","72,22%","100,00%","83,33%","94,44%","85,71%",,,,,,,"-9,24%",,"77,70%","89,29%",,"75,00%","64,29%","92,86%","72,22%","81,48%","87,83%",,,,,,,,,,,,,,,
,CSAT Outeletro,%,maior - melhor,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,"64,29%","72,73%","77,78%","100,00%","85,71%",-%,"100,00%","100,00%","100,00%","100,00%","75,00%","100,00%","100,00%","100,00%","66,67%","100,00%","33,33%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","80,00%","100,00%","100,00%","66,67%","100,00%","75,00%","85,71%","80,00%","100,00%","100,00%","100,00%","100,00%","90,00%","100,00%","75,00%","100,00%","100,00%","75,00%","100,00%","50,00%","100,00%","85,71%","85,71%","100,00%","100,00%","75,00%","50,00%","100,00%","50,00%","100,00%","70,00%","72,73%","100,00%","100,00%","100,00%","0,00%","50,00%","100,00%","90,91%","80,65%","81,82%","100,00%","87,50%","84,62%",,,,,,,,,,,,,,,,,,,,,,,,,,,"-3,29%",,-%,-%,"68,75%","94,74%","92,86%","82,35%","100,00%","95,45%","88,89%","91,30%","94,74%","85,00%","81,82%","81,82%","82,61%","90,00%","82,61%","89,36%",,,,,,,"8,17%",,"86,51%","86,61%",,"68,75%","92,86%","95,45%","91,30%","82,08%","87,32%",,,,,,,,,,,,,,,
,CSAT Ponto Mix (AGMX),%,maior - melhor,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,"77,78%","100,00%","50,00%","50,00%","100,00%",-%,"100,00%","100,00%",-%,"83,33%","60,00%","25,00%","71,43%","83,33%","75,00%","87,50%","80,00%",-%,"100,00%",-%,"66,67%","83,33%","100,00%","100,00%","100,00%","100,00%",-%,-%,"100,00%","100,00%","100,00%","100,00%","100,00%","66,67%","100,00%","100,00%","100,00%","80,00%","100,00%","100,00%","100,00%","100,00%",-,-,"66,67%","75,00%","75,00%","81,82%","90,00%","66,67%","66,67%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","83,33%","100,00%","66,67%","93,33%","100,00%","100,00%","88,89%","100,00%","93,33%",,,,,,,,,,,,,,,,,,,,,,,,,,,"-6,67%",,-%,-%,"77,42%","92,31%","60,00%","78,13%","77,78%","94,12%","100,00%","92,86%","94,12%","100,00%","72,22%","81,48%","100,00%","95,24%","92,86%","95,12%",,,,,,,"2,43%",,"85,71%","88,70%",,"77,42%","78,13%","94,12%","94,12%","84,57%","94,41%",,,,,,,,,,,,,,,
,CSAT ORC MOVEIS E EL (Comercial Agrov),%,maior - melhor,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,"75,00%","50,00%","66,67%","100,00%","0,00%",-%,"66,67%",-%,"0,00%","50,00%","100,00%","75,00%","66,67%",-%,-%,"75,00%","100,00%","80,00%","75,00%","100,00%","100,00%","75,00%","42,86%","77,78%","100,00%","100,00%","100,00%","66,67%","0,00%","80,00%","100,00%","80,00%","66,67%","100,00%",-%,"100,00%","62,50%","100,00%","100,00%","100,00%","87,50%","100,00%","100,00%",-,"100,00%","100,00%","80,00%","100,00%","80,00%","40,00%","100,00%","85,71%","100,00%","100,00%","66,67%","71,43%","100,00%","66,67%","0,00%","75,00%","0,00%","100,00%","63,64%","100,00%","100,00%","100,00%",-%,"60,00%",,,,,,,,,,,,,,,,,,,,,,,,,,,-,,-%,-%,"66,67%","55,56%","66,67%","76,92%","83,33%","74,07%","78,95%","81,25%","70,00%","95,83%","90,91%","78,95%","85,71%","71,43%","76,19%","86,67%",,,,,,,"13,76%",,"81,36%","80,23%",,"66,67%","66,67%","78,95%","81,25%","85,19%","78,10%",,,,,,,,,,,,,,,
,CSAT E S L KOSLYK CO,%,maior - melhor,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,"100,00%","100,00%","100,00%",-%,"100,00%",-%,"100,00%","66,67%","0,00%","100,00%",-%,"100,00%","100,00%",-%,-%,"100,00%","100,00%","100,00%","100,00%","85,71%","100,00%",-%,"75,00%","50,00%",-%,"100,00%","60,00%","100,00%","100,00%",-,-,"100,00%","100,00%",-,-,"100,00%","60,00%","80,00%",-,"100,00%","40,00%","100,00%","100,00%","100,00%",-,"83,33%",-%,"33,33%","75,00%","100,00%","100,00%","80,00%","100,00%","80,00%","100,00%",,,,,,,,,,,,,,,,,,,,,,,,,,,"25,00%",,-%,-%,-%,-%,-%,"100,00%","75,00%","80,00%","100,00%","90,91%","66,67%","77,78%","100,00%","72,73%","75,00%","88,89%","76,92%","87,50%",,,,,,,"13,75%",,"85,45%","79,17%",,-%,"100,00%","80,00%","77,78%","82,58%","84,44%",,,,,,,,,,,,,,,
,CSAT JEV,%,maior - melhor,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,"100,00%",-%,"100,00%",-%,-%,-%,-%,-%,-%,-%,-%,"100,00%","100,00%","100,00%",-%,-%,-%,-%,-%,-%,"100,00%",-%,-%,-%,-%,"100,00%",-,-,-,-,"100,00%","100,00%",-,"100,00%",-,"100,00%",-,-,-,-,-,-,-,-%,-%,-%,"100,00%",-%,"100,00%","100,00%",-%,"0,00%","100,00%",,,,,,,,,,,,,,,,,,,,,,,,,,,-,,-%,-%,-%,-%,-%,"100,00%","100,00%",-%,"100,00%",-%,"100,00%","50,00%","100,00%","100,00%",-%,-%,"100,00%","66,67%",,,,,,,"-33,33%",,"90,00%","100,00%",,-%,"100,00%","100,00%","75,00%","100,00%","0,83335",,,,,,,,,,,,,,,
,CSAT Outlet D Tudo,%,maior - melhor,,,,,,,,,,,,,,,,,,,,,,,,,,,,-%,-%,-%,-%,-%,-%,-%,-%,-%,"100,00%",-%,-%,"100,00%",-%,-%,"100,00%",-%,"100,00%","100,00%",-%,-%,"100,00%",-%,"100,00%","100,00%","0,00%",-,"100,00%","100,00%","100,00%",-,-,"0,00%",-,"100,00%","100,00%","100,00%","50,00%","50,00%","100,00%",-,-%,-%,"100,00%","0,00%",-%,-%,-%,"100,00%","100,00%","100,00%",,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00%",,-%,-%,-%,-%,-%,-%,-%,-%,"100,00%","100,00%","100,00%","83,33%","100,00%","0,00%","85,71%","100,00%","50,00%","100,00%",,,,,,,"100,00%",,"80,93%","84,21%",,-%,-%,-%,"100,00%","61,90%","83,33%",,,,,,,,,,,,,,,
,CSAT Topa Tudo,%,maior - melhor,,,,,,,,,,,,,,,,,,,,,,,,,,,,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,"100,00%","100,00%","100,00%",-%,-%,-%,"100,00%","100,00%",-%,-%,"66,67%","100,00%","100,00%",-,"100,00%",-,"50,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","80,00%","100,00%","88,89%","100,00%","100,00%","100,00%",,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00%",,-%,-%,-%,-%,-%,-%,-%,-%,-%,"100,00%","100,00%","83,33%","75,00%","100,00%","100,00%","100,00%","93,75%","96,43%",,,,,,,"2,86%",,"94,44%","96,97%",,-%,-%,-%,"100,00%","91,67%","96,73%",,,,,,,,,,,,,,,
,CSAT MEGA MULTI OUTLET,%,maior - melhor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,"100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%",-,"100,00%",-,-,"100,00%","75,00%",-,"100,00%","100,00%","66,67%",-%,"100,00%","100,00%","100,00%","66,67%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","80,00%","100,00%",,,,,,,,,,,,,,,,,,,,,,,,,,,"25,00%",,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,"100,00%","100,00%","100,00%","83,33%","75,00%","85,71%","90,00%","90,00%",,,,,,,"0,00%",,"100,00%","93,33%",,-%,-%,-%,,"86,11%","88,57%",,,,,,,,,,,,,,,
