,,,,WEEK 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WEEK 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,,,,,,,,,,,,2026,,,,,,,,,,,,,,,,,Quarter 2025,,,,Quarter 2026,,,,,,,,,,,,,,,,
1P,SLA KMAN,%,maior - melhor,-%,"100,00%","100,00%","100,00%","100,00%","100,00%","92,31%","80,95%","93,75%","92,31%","80,00%",w,"73,33%","70,00%","78,57%","85,71%","100,00%","80,00%","85,71%","66,67%","41,18%","33,33%","66,67%","50,00%","57,14%","33,33%","72,22%","68,18%","81,82%","80,00%","87,50%","64,71%","70,83%","95,24%","87,50%","88,89%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","81,82%","93,75%","100,00%","87,50%","100,00%","77,78%","100,00%","85,71%","100,00%",-%,"91,67%","80,00%","93,75%","92,86%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","90,00%","100,00%","100,00%","100,00%","100,00%","95,45%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","92,86%","100,00%",,,,,,,,,,,,,,,,,,,,,,,,,,,"7,69%",,"94,12%","87,88%","85,51%","84,93%","55,10%","52,50%","77,78%","79,75%","98,39%","94,74%","93,62%","93,33%","91,38%","100,00%","98,53%","98,39%","100,00%","97,56%",,,,,,,"-2,44%",,"95,38%","99,26%",,"89,17%","64,18%","85,31%","93,90%","96,64%","98,65%",,,,,,,,,,,,,,,
,Notas com Atraso,#,menor - melhor,,,,,,,1,4,1,1,1,3,4,3,1,1,0,2,2,1,10,8,7,10,6,4,5,7,2,2,1,6,7,1,1,1,0,0,0,0,0,0,2,1,0,1,0,2,0,2,0,-%,1,2,1,1,0,,,,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"-100,00%",,,,,,,,,,,,,,,,,,,0,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,
1P,SLA Outeletro,%,maior - melhor,-%,"100,00%","100,00%","80,00%","96,55%","100,00%","100,00%","82,50%","85,71%",-%,"87,50%","82,61%","84,21%","83,87%","85,19%","89,47%","73,33%","92,59%","93,33%","100,00%","87,50%","85,00%","82,35%","85,71%","84,21%","78,57%","85,71%","87,50%","90,91%","85,71%","75,00%","85,71%","73,33%","70,83%","65,00%","91,30%","80,00%","85,00%","74,07%","57,14%","22,22%","85,37%","84,38%","92,59%","100,00%","73,08%","94,12%","96,43%","28,57%","85,71%","85,71%","100,00%","77,78%","66,67%","94,74%","96,43%","85,71%","93,94%","96,15%","75,00%","81,48%","60,00%","87,50%","100,00%","88,46%","100,00%","90,00%","98,00%","85,00%","92,86%","46,15%","93,33%","75,00%","66,67%","90,32%","96,43%","100,00%","70,73%",,,,,,,,,,,,,,,,,,,,,,,,,,,"-29,27%",,"89,93%","89,80%","83,93%","88,57%","93,24%","82,35%","85,44%","74,71%","80,81%","70,92%","90,63%","86,21%","89,11%","88,24%","88,43%","93,81%","74,40%","92,31%",,,,,,,"24,07%",,"79,67%","85,58%",,"87,89%","88,05%","80,32%","82,59%","88,59%","86,84%",,,,,,,,,,,,,,,
,Notas com Atraso,#,menor - melhor,,,,2,1,,,7,3,,6,4,3,5,5,0,1,2,1,-,1,3,3,3,3,6,3,3,1,2,6,3,4,7,7,2,4,3,7,9,21,6,5,2,0,7,1,1,5,1,4,0,2,5,2,1,2,,,,5,8,3,0,3,0,1,1,3,1,7,2,13,10,3,1,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,3,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,
,SLA Ponto Mix (AGMX),%,maior - melhor,-%,"100,00%","100,00%","81,25%","78,95%","93,33%","100,00%","89,47%","68,75%","82,61%","81,82%","86,67%","50,00%","66,67%","100,00%","42,11%","90,91%",-%,"87,50%","73,91%","75,00%","77,27%","63,16%","47,83%","97,06%","86,67%",100%,"80,00%","100,00%","86,36%","75,00%","100,00%","84,00%","100,00%","100,00%","82,61%","100,00%","76,00%","95,83%","87,10%","100,00%","84,62%","85,71%","77,27%","87,50%","94,12%","82,35%","90,48%","86,36%","72,73%","78,57%",-%,-%,"58,33%","84,62%","67,86%","78,38%","100,00%","92,31%","50,00%","85,00%","71,43%","100,00%","95,83%","100,00%","100,00%","100,00%","92,86%","100,00%","100,00%","100,00%","100,00%","90,00%","96,00%","96,15%","100,00%","100,00%","83,33%",,,,,,,,,,,,,,,,,,,,,,,,,,,"-16,67%",,"84,03%","87,50%","82,76%","63,24%","74,71%","75,82%","86,44%","76,92%","86,96%","85,11%","89,23%","80,65%","74,44%","89,66%","96,81%","98,39%","96,59%","98,44%",,,,,,,"1,92%",,"84,51%","92,39%",,"84,76%","71,26%","83,44%","85,00%","86,97%","97,81%",,,,,,,,,,,,,,,
,Notas com Atraso,#,menor - melhor,,,,3,4,1,,2,5,4,6,2,1,6,5,1,1,-%,2,6,3,5,7,12,1,2,0,4,0,3,1,0,4,0,0,4,0,6,1,4,0,4,2,5,1,1,3,2,3,3,6,-,-,10,4,9,8,,,,3,2,0,1,0,0,0,1,0,0,0,0,2,1,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,1,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,
,SLA ORC MOVEIS E EL ( Comercial Agrov),%,maior - melhor,-%,-%,-%,-%,-%,"85,71%","88,00%","70,00%","86,36%","57,14%","89,47%","71,43%","63,64%","63,64%","70,00%","50,00%","25,00%","57,14%","60,00%","50,00%","72,73%","46,67%","60,00%","83,33%","57,14%","100,00%","30,77%","50,00%","16,67%",-%,"16,67%","42,42%","61,90%","81,48%","50,00%","80,00%","78,57%",-%,"84,85%","100,00%","80,00%","54,55%","79,17%","66,67%","0,00%","57,58%","88,89%","93,10%","93,33%","100,00%","89,29%","100,00%",-%,"71,43%","100,00%","87,50%","72,22%","100,00%","90,00%","100,00%","100,00%","100,00%","94,12%","100,00%","100,00%","100,00%","95,00%","100,00%","94,12%","100,00%","92,31%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%",,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00%",,"82,46%","86,96%","72,22%","58,18%","55,17%","62,16%","22,22%","58,33%","80,00%","72,22%","73,97%","94,44%","78,46%","96,77%","98,51%","96,92%","98,33%","100,00%",,,,,,,"1,70%",,"80,12%","95,19%",,"80,55%","58,50%","53,52%","80,21%","91,25%","98,42%",,,,,,,,,,,,,,,
,Notas com Atraso,#,menor - melhor,0,0,0,0,0,2,3,3,3,3,2,2,4,4,6,6,1,3,2,7,3,8,6,1,3,0,9,4,10,0,5,19,8,5,1,2,6,1,5,0,3,10,5,1,2,14,1,2,1,0,3,0,0,6,0,2,5,,,,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,0,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,
,SLA E S L KOSLYK CO (Ebenezer),%,maior - melhor,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,"100,00%","87,50%","90,00%","100,00%",-%,"100,00%",-%,"100,00%","91,67%","100,00%","100,00%","100,00%","100,00%",-%,"90,91%",-%,"100,00%","100,00%","100,00%","100,00%","90,91%","75,00%","100,00%","69,23%","88,89%","100,00%","100,00%","100,00%","100,00%","100,00%",-%,"33,33%","65,38%","100,00%","100,00%","83,33%","0,00%","63,64%","100,00%","100,00%","50,00%","90,00%","100,00%","63,64%","100,00%","88,89%","92,86%",-%,"100,00%","100,00%","100,00%","80,00%","62,50%","55,56%","100,00%","77,78%","100,00%",,,,,,,,,,,,,,,,,,,,,,,,,,,"28,57%",,-%,-%,-%,-%,"100,00%","74,29%","87,50%","100,00%","97,30%","89,47%","78,13%","100,00%","71,93%","62,50%","68,63%","87,50%","80,56%","76,67%",,,,,,,"-4,83%",,"92,31%","75,27%",,-%,"87,15%","94,93%","89,20%","67,69%","81,58%",,,,,,,,,,,,,,,
,Notas com Atraso,#,menor - melhor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,-%,2,9,0,0,2,,,,0,7,1,0,4,0,1,1,0,0,0,0,1,3,4,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"-100,00%",,0,0,0,0,0,,,,,,,,,,,,,4,,,,,,,-,,0,,,,,,,,"400,00%",,,,,,,,,,,,,,,
